Original ID,Agreement Date,Maturity Date,Status,Quantity,Leg1 Notional,Leg1 currency,Leg1 price,Leg2 Notional,Leg2 currency,Leg2 price,Underlying,Counterparty,Direction,Product,UTI,Prior UTI
1044_16501_U733,01/08/2025 00:00:00,05/08/2026 00:00:00,LIVE,24999.0000000000,1140954.3600000000,BRL,45.6400000000,1140954.3600000000,BRL,-0.20000000,BRRENTACNPR1,00ZICE,SELL,EQSWAP,5493006QMFDDMYWIAM13104416501U733,
1051_10001_U979,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,38584.0000000000,2656980.7289413752,BRL,68.8622415753,528119.7343368856,USD,0.50000000,BRAXIAACNPB1,00YRB9,SELL,EQSWAP,5493006QMFDDMYWIAM13105110001U979,5493006QMFDDMYWIAM131051_10001_U977
1051_10015_U984,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,1000.0000000000,43480.0000000000,BRL,43.4800000000,8372.3274936000,USD,0.50000000,BRITUBACNPR1,0087I1,SELL,EQSWAP,5493006QMFDDMYWIAM13105110015U984,5493006QMFDDMYWIAM131051_10015_U982
1051_10021_U1144,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,180000.0000000000,-3501393.0599880000,BRL,19.4521836666,-695697.0264900000,USD,-0.40000000,BRB3SAACNOR6,0087I1,BUY,EQSWAP,5493006QMFDDMYWIAM13105110021U1144,5493006QMFDDMYWIAM131051_10021_U1136
1051_10042_U892,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,1115.0000000000,62763.3500000000,BRL,56.2900000000,12085.4489603010,USD,0.50000000,BRBPACUNT006,00YRB9,SELL,EQSWAP,5493006QMFDDMYWIAM13105110042U892,5493006QMFDDMYWIAM131051_10042_U888
1051_10042_U921,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,100.0000000000,-5629.0000000000,BRL,56.2900000000,-1083.8967677400,USD,-0.40000000,BRBPACUNT006,0087I1,BUY,EQSWAP,5493006QMFDDMYWIAM13105110042U921,5493006QMFDDMYWIAM131051_10042_U919
1051_10058_U614,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,280002.0000000000,-3580680.2200205994,BRL,12.7880522997,-694960.4521317726,USD,-0.40000000,BRCMIGACNPR3,00YRB9,BUY,EQSWAP,5493006QMFDDMYWIAM13105110058U614,5493006QMFDDMYWIAM131051_10058_U610
1051_10058_U674,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,90000.0000000000,1134900.0000000000,BRL,12.6100000000,218531.6116020000,USD,0.50000000,BRCMIGACNPR3,0087I1,SELL,EQSWAP,5493006QMFDDMYWIAM13105110058U674,5493006QMFDDMYWIAM131051_10058_U671
1051_10069_U1106,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,600000.0000000000,-49547352.0000000000,BRL,82.5789200000,-9552578.4409200000,USD,-0.40000000,BRVALEACNOR0,0087I1,BUY,EQSWAP,5493006QMFDDMYWIAM13105110069U1106,5493006QMFDDMYWIAM131051_10069_U1105
1051_10075_U980,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,1444841.0000000000,-94010863.5978442023,BRL,65.0665807503,-18717868.7260458537,USD,-0.40000000,BRAXIAACNOR0,00YRB9,BUY,EQSWAP,5493006QMFDDMYWIAM13105110075U980,5493006QMFDDMYWIAM131051_10075_U976
1051_10081_U867,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,3256.0000000000,158469.5200000000,BRL,48.6700000000,30514.2299721864,USD,0.50000000,BRPETRACNPR6,00YRB9,SELL,EQSWAP,5493006QMFDDMYWIAM13105110081U867,5493006QMFDDMYWIAM131051_10081_U862
1051_10765_U1135,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,400000.0000000000,-1537937.9000000000,BRL,3.8448447500,-302565.7959200000,USD,-0.40000000,BRVAMOACNOR7,00YRB9,BUY,EQSWAP,5493006QMFDDMYWIAM13105110765U1135,5493006QMFDDMYWIAM131051_10765_U1134
1051_11017_U955,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,38000.0000000000,2712060.0000000000,BRL,71.3700000000,522222.9646328000,USD,0.50000000,BRORVRACNOR0,00YRB9,SELL,EQSWAP,5493006QMFDDMYWIAM13105111017U955,5493006QMFDDMYWIAM131051_11017_U954
1051_11032_U1028,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,3000000.0000000000,451560000.0000000000,BRL,150.5200000000,86950510.6485000000,USD,0.50000000,BRLFTSCTF006,0087I1,SELL,EQSWAP,5493006QMFDDMYWIAM13105111032U1028,5493006QMFDDMYWIAM131051_11032_U1027
1051_11500_U1069,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,500000.0000000000,5250000.0000000000,BRL,10.5000000000,1010918.1081000000,USD,0.50000000,BRCBAVACNOR5,00YRB9,SELL,EQSWAP,5493006QMFDDMYWIAM13105111500U1069,5493006QMFDDMYWIAM131051_11500_U1068
1051_13501_U653,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,400000.0000000000,-6172000.0000000000,BRL,15.4300000000,-1188454.5834800000,USD,-0.40000000,BRCPLEACNOR8,0087I1,BUY,EQSWAP,5493006QMFDDMYWIAM13105113501U653,5493006QMFDDMYWIAM131051_13501_U650
1051_16607_U833,30/10/2025 00:00:00,03/11/2026 00:00:00,LIVE,4200000.0000000000,469770000.0000000000,BRL,111.8500000000,90456952.3149600000,USD,0.50000000,BRLLFTCTF001,0087I1,SELL,EQSWAP,5493006QMFDDMYWIAM13105116607U833,5493006QMFDDMYWIAM131051_16607_U831
1059_10081_U585,25/09/2025 00:00:00,28/09/2026 00:00:00,LIVE,1000.0000000000,48670.0000000000,BRL,48.6700000000,48670.0000000000,BRL,0.65000000,BRPETRACNPR6,00A20D,SELL,EQSWAP,5493006QMFDDMYWIAM13105910081U585,
1061_11484_U541,13/10/2025 00:00:00,14/10/2026 00:00:00,LIVE,2230200.0000000000,69582240.0000000000,BRL,31.2000000000,13398465.9847109400,USD,0.60000000,BRTENDACNOR4,00WI4X,SELL,EQSWAP,5493006QMFDDMYWIAM13106111484U541,
1063_14906_U1157,11/11/2025 00:00:00,13/11/2026 00:00:00,LIVE,428452.0000000000,151119935.6013440000,CLP,352.7114720000,169037.9592964508,USD,0.50000000,CL0000000035,00ZICB,SELL,EQSWAP,5493006QMFDDMYWIAM13106314906U1157,5493006QMFDDMYWIAM131063_14906_U1154
1063_14906_U1158,11/11/2025 00:00:00,13/11/2026 00:00:00,LIVE,3794939.0000000000,1338518520.8402080000,CLP,352.7114720000,1497224.2963377781,USD,0.50000000,CL0000000035,00ZICD,SELL,EQSWAP,5493006QMFDDMYWIAM13106314906U1158,5493006QMFDDMYWIAM131063_14906_U1154
1063_14906_U1159,11/11/2025 00:00:00,13/11/2026 00:00:00,LIVE,1350351.0000000000,476284288.9266720000,CLP,352.7114720000,532756.4753436129,USD,0.50000000,CL0000000035,00ZICE,SELL,EQSWAP,5493006QMFDDMYWIAM13106314906U1159,5493006QMFDDMYWIAM131063_14906_U1154
1063_14906_U1160,11/11/2025 00:00:00,13/11/2026 00:00:00,LIVE,237544.0000000000,83784493.9047680000,CLP,352.7114720000,93718.6732775576,USD,0.50000000,CL0000000035,00ZICG,SELL,EQSWAP,5493006QMFDDMYWIAM13106314906U1160,5493006QMFDDMYWIAM131063_14906_U1154
1063_14906_U1161,11/11/2025 00:00:00,13/11/2026 00:00:00,LIVE,162242.0000000000,57224614.6402240000,CLP,352.7114720000,64009.6360669918,USD,0.50000000,CL0000000035,007Y6R,SELL,EQSWAP,5493006QMFDDMYWIAM13106314906U1161,5493006QMFDDMYWIAM131063_14906_U1154
1063_14918_U879,11/11/2025 00:00:00,13/11/2026 00:00:00,LIVE,1411110.0000000000,117450368.0192524410,CLP,83.2326098031,130289.5007986500,USD,0.50000000,CLP371861061,00ZICB,SELL,EQSWAP,5493006QMFDDMYWIAM13106314918U879,5493006QMFDDMYWIAM131063_14918_U872
1063_14918_U880,11/11/2025 00:00:00,13/11/2026 00:00:00,LIVE,8679982.0000000000,727187004.5286727766,CLP,83.7774784013,812166.7078078322,USD,0.50000000,CLP371861061,00ZICD,SELL,EQSWAP,5493006QMFDDMYWIAM13106314918U880,5493006QMFDDMYWIAM131063_14918_U872
1063_14918_U881,11/11/2025 00:00:00,13/11/2026 00:00:00,LIVE,2810858.0000000000,235838047.8707688140,CLP,83.9025122830,263803.3795677284,USD,0.50000000,CLP371861061,00ZICE,SELL,EQSWAP,5493006QMFDDMYWIAM13106314918U881,5493006QMFDDMYWIAM131063_14918_U872
1063_14918_U883,11/11/2025 00:00:00,13/11/2026 00:00:00,LIVE,653044.0000000000,54515245.0096725240,CLP,83.4786706710,60661.0265701636,USD,0.50000000,CLP371861061,00ZICG,SELL,EQSWAP,5493006QMFDDMYWIAM13106314918U883,5493006QMFDDMYWIAM131063_14918_U872
1063_14918_U882,11/11/2025 00:00:00,13/11/2026 00:00:00,LIVE,511492.0000000000,42602955.9684864000,CLP,83.2915392000,47295.0845582632,USD,0.50000000,CLP371861061,007Y6R,SELL,EQSWAP,5493006QMFDDMYWIAM13106314918U882,5493006QMFDDMYWIAM131063_14918_U872
1063_14925_U579,11/11/2025 00:00:00,13/11/2026 00:00:00,LIVE,9853923.0000000000,1330941615.1600956849,CLP,135.0671823963,1483713.1086640920,USD,0.50000000,CLP3615W1037,00ZICB,SELL,EQSWAP,5493006QMFDDMYWIAM13106314925U579,5493006QMFDDMYWIAM131063_14925_U571
1063_14925_U578,11/11/2025 00:00:00,13/11/2026 00:00:00,LIVE,107213767.0000000000,14440862594.3156000920,CLP,134.6922414760,16045459.6110447784,USD,0.50000000,CLP3615W1037,00ZICD,SELL,EQSWAP,5493006QMFDDMYWIAM13106314925U578,5493006QMFDDMYWIAM131063_14925_U571
1063_14925_U580,11/11/2025 00:00:00,13/11/2026 00:00:00,LIVE,40857484.0000000000,5539568051.6686654212,CLP,135.5827013643,6203189.8943770656,USD,0.50000000,CLP3615W1037,00ZICE,SELL,EQSWAP,5493006QMFDDMYWIAM13106314925U580,5493006QMFDDMYWIAM131063_14925_U571
1063_14925_U582,11/11/2025 00:00:00,13/11/2026 00:00:00,LIVE,3349454.0000000000,453500145.2600738398,CLP,135.3952450937,507003.4305127390,USD,0.50000000,CLP3615W1037,00ZICG,SELL,EQSWAP,5493006QMFDDMYWIAM13106314925U582,5493006QMFDDMYWIAM131063_14925_U571
